#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
1291867	IPR000812	Transcription factor TFIIB	PRINTS	PR00685	Transcription initiation factor IIB signature	8	45,67,80,178,204,243,277,309,	65,80,101,197,219,261,293,323,	8.2E-45,8.2E-45,8.2E-45,8.2E-45,8.2E-45,8.2E-45,8.2E-45,8.2E-45
1291867	IPR023486	Transcription factor TFIIB, conserved site	ProSitePatterns	PS00782	Transcription factor TFIIB repeat signature.	1	170,	185,	-
1291867	IPR013137	Zinc finger, TFIIB-type	ProSiteProfiles	PS51134	Zinc finger TFIIB-type profile.	1	27,	60,	9.546
1291867	IPR013763	Cyclin-like	SMART	SM00385	domain present in cyclins, TFIIB and Retinoblastoma	2	136,242,	217,323,	1.9E-10,0.17
1291867	IPR013763	Cyclin-like	SUPERFAMILY	SSF47954	\N	2	133,239,	221,334,	2.04E-25,1.62E-21
1291867	\N	\N	SUPERFAMILY	SSF57783	\N	1	26,	77,	1.36E-14
1291881	IPR007823	Methyltransferase-related	HMMPfam	PF05148	Hypothetical methyltransferase	1	173,	412,	1.1E-63
1291881	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	SUPERFAMILY	SSF53335	\N	1	233,	384,	7.26E-13
1291893	IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4	HMMPfam	PF03604	DNA directed RNA polymerase, 7 kDa subunit	1	1,	28,	3.9E-14
1291893	IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4	SMART	SM00659	RNA polymerase subunit CX	1	1,	37,	1.0E-7
1291893	IPR029040	RNA polymerase subunit RPABC4/transcription elongation factor Spt4	SUPERFAMILY	SSF63393	\N	1	1,	32,	9.15E-10
1291927	IPR010756	Hepatocellular carcinoma-associated antigen 59	HMMPfam	PF07052	Hepatocellular carcinoma-associated antigen 59	1	110,	210,	7.4E-26
1291944	IPR000022	Carboxyl transferase	HMMPfam	PF01039	Carboxyl transferase domain	1	60,	522,	5.0E-147
1291944	IPR011762	Acetyl-coenzyme A carboxyltransferase, N-terminal	ProSiteProfiles	PS50980	Acetyl-coenzyme A carboxyltransferase domain N-terminal region profile.	1	38,	252,	33.733
1291944	IPR011763	Acetyl-coenzyme A carboxyltransferase, C-terminal	ProSiteProfiles	PS50989	Acetyl-coenzyme A carboxyltransferase domain C-terminal region profile.	1	253,	526,	58.139
1291944	IPR029045	ClpP/crotonase-like domain	SUPERFAMILY	SSF52096	\N	2	36,247,	276,514,	2.85E-66,1.84E-77
1291969	IPR000873	AMP-dependent synthetase/ligase	HMMPfam	PF00501	AMP-binding enzyme	1	52,	473,	6.1E-87
1291969	IPR025110	AMP-binding enzyme C-terminal domain	HMMPfam	PF13193	AMP-binding enzyme C-terminal domain	1	483,	560,	7.7E-10
1291969	IPR020845	AMP-binding, conserved site	ProSitePatterns	PS00455	Putative AMP-binding domain signature.	1	217,	228,	-
1291969	\N	\N	SUPERFAMILY	SSF56801	\N	1	13,	578,	7.85E-120
1291978	IPR006076	FAD dependent oxidoreductase	HMMPfam	PF01266	FAD dependent oxidoreductase	1	4,	404,	2.4E-34
1291978	\N	\N	SUPERFAMILY	SSF51971	\N	2	4,342,	271,413,	1.01E-23,1.01E-23
1292002	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	3	4,206,284,	84,243,347,	4.25E-12,4.25E-12,4.25E-12
1292006	IPR000719	Protein kinase domain	HMMPfam	PF00069	Protein kinase domain	1	141,	425,	3.0E-69
1292006	IPR008271	Serine/threonine-protein kinase, active site	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1	262,	274,	-
1292006	IPR000719	Protein kinase domain	ProSiteProfiles	PS50011	Protein kinase domain profile.	1	141,	425,	46.633
1292006	IPR002290	Serine/threonine/dual specificity protein kinase, catalytic  domain	SMART	SM00220	Serine/Threonine protein kinases, catalytic domain	1	141,	425,	3.6E-90
1292006	IPR011009	Protein kinase-like domain	SUPERFAMILY	SSF56112	\N	1	123,	477,	6.61E-82
1292081	IPR010285	DNA helicase Pif1 like	HMMPfam	PF05970	PIF1-like helicase	1	97,	215,	1.2E-15
1292081	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	1	76,	223,	4.67E-18
1292110	IPR028012	Protein of unknown function DUF4451	HMMPfam	PF14616	Domain of unknown function (DUF4451)	1	13,	145,	1.2E-32
1292165	IPR010285	DNA helicase Pif1 like	HMMPfam	PF05970	PIF1-like helicase	1	106,	213,	2.7E-32
1292165	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	1	103,	213,	3.34E-14
1292195	IPR006569	CID domain	ProSiteProfiles	PS51391	CID domain profile.	1	1,	146,	28.07
1292195	IPR006569	CID domain	SMART	SM00582	\N	1	3,	143,	1.5E-5
1292195	IPR008942	ENTH/VHS	SUPERFAMILY	SSF48464	\N	1	3,	141,	5.62E-9
1292202	IPR001680	WD40 repeat	HMMPfam	PF00400	WD domain, G-beta repeat	6	75,110,153,220,268,315,	102,145,189,246,305,352,	9.4E-5,1.0E-6,4.9E-6,0.056,2.4E-8,5.6E-4
1292202	IPR020472	G-protein beta WD-40 repeat	PRINTS	PR00320	G protein beta WD-40 repeat signature	3	89,133,233,	103,147,247,	3.2E-7,3.2E-7,3.2E-7
1292202	IPR019775	WD40 repeat, conserved site	ProSitePatterns	PS00678	Trp-Asp (WD) repeats signature.	2	89,233,	103,247,	-,-
1292202	IPR001680	WD40 repeat	ProSiteProfiles	PS50082	Trp-Asp (WD) repeats profile.	4	89,113,156,272,	103,155,198,305,	9.84,10.208,9.773,10.876
1292202	IPR017986	WD40-repeat-containing domain	ProSiteProfiles	PS50294	Trp-Asp (WD) repeats circular profile.	1	69,	354,	27.157
1292202	IPR001680	WD40 repeat	SMART	SM00320	WD40 repeats	6	63,106,149,206,265,313,	102,146,189,246,305,353,	1.3E-5,2.8E-6,3.7E-7,0.26,7.0E-7,0.058
1292202	IPR017986	WD40-repeat-containing domain	SUPERFAMILY	SSF50978	\N	1	4,	353,	3.0E-56
1292211	IPR020946	Flavin monooxygenase-like	HMMPfam	PF00743	Flavin-binding monooxygenase-like	2	47,291,	283,334,	1.7E-16,3.4E-6
1292211	IPR000960	Flavin monooxygenase FMO	PRINTS	PR00370	Flavin-containing monooxygenase (FMO) signature	4	47,199,290,309,	63,215,307,336,	6.2E-19,6.2E-19,6.2E-19,6.2E-19
1292211	\N	\N	SUPERFAMILY	SSF51905	\N	1	45,	271,	8.81E-38
1292226	IPR001327	Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain	HMMPfam	PF00070	Pyridine nucleotide-disulphide oxidoreductase	1	149,	233,	6.7E-8
1292226	IPR023753	Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain	HMMPfam	PF07992	Pyridine nucleotide-disulphide oxidoreductase	1	7,	307,	1.9E-11
1292226	IPR013027	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	PRINTS	PR00368	FAD-dependent pyridine nucleotide reductase signature	3	7,149,257,	26,167,273,	1.1E-7,1.1E-7,1.1E-7
1292226	IPR000103	Pyridine nucleotide-disulphide oxidoreductase, class-II	PRINTS	PR00469	Pyridine nucleotide disulphide reductase class-II signature	3	6,108,145,	28,116,169,	9.4E-6,9.4E-6,9.4E-6
1292226	\N	\N	SUPERFAMILY	SSF51905	\N	1	1,	312,	2.46E-22
1292249	IPR000542	Acyltransferase ChoActase/COT/CPT	HMMPfam	PF00755	Choline/Carnitine o-acyltransferase	1	29,	617,	1.5E-141
1292249	IPR000542	Acyltransferase ChoActase/COT/CPT	ProSitePatterns	PS00440	Acyltransferases ChoActase / COT / CPT family signature 2.	1	319,	346,	-
1292249	\N	\N	SUPERFAMILY	SSF52777	\N	2	22,413,	407,621,	7.12E-107,3.39E-58
1292278	\N	\N	SUPERFAMILY	SSF52047	\N	1	165,	471,	8.63E-13
1292280	IPR001789	Signal transduction response regulator, receiver domain	HMMPfam	PF00072	Response regulator receiver domain	2	893,968,	930,1038,	3.2E-5,1.1E-8
1292280	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	HMMPfam	PF00512	His Kinase A (phospho-acceptor) domain	1	401,	467,	4.2E-7
1292280	IPR003594	Histidine kinase-like ATPase, C-terminal domain	HMMPfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1	542,	718,	2.0E-23
1292280	IPR004358	Signal transduction histidine kinase-related protein, C-terminal	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	4	643,663,680,704,	657,673,698,717,	5.6E-15,5.6E-15,5.6E-15,5.6E-15
1292280	IPR005467	Signal transduction histidine kinase, core	ProSiteProfiles	PS50109	Histidine kinase domain profile.	1	408,	720,	29.613
1292280	IPR001789	Signal transduction response regulator, receiver domain	ProSiteProfiles	PS50110	Response regulatory domain profile.	1	892,	1042,	24.805
1292280	IPR003594	Histidine kinase-like ATPase, C-terminal domain	SMART	SM00387	Histidine kinase-like ATPases	1	542,	720,	8.6E-29
1292280	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	SMART	SM00388	His Kinase A (phosphoacceptor) domain	1	401,	467,	9.5E-7
1292280	IPR001789	Signal transduction response regulator, receiver domain	SMART	SM00448	cheY-homologous receiver domain	1	891,	1038,	7.1E-21
1292280	IPR009082	Signal transduction histidine kinase, homodimeric domain	SUPERFAMILY	SSF47384	\N	1	388,	468,	1.2E-7
1292280	IPR011006	CheY-like superfamily	SUPERFAMILY	SSF52172	\N	2	889,969,	932,1045,	1.43E-28,1.43E-28
1292280	IPR003594	Histidine kinase-like ATPase, C-terminal domain	SUPERFAMILY	SSF55874	\N	2	512,642,	577,718,	1.38E-28,1.38E-28
1292304	IPR001623	DnaJ domain	HMMPfam	PF00226	DnaJ domain	1	7,	68,	7.8E-27
1292304	IPR001623	DnaJ domain	PRINTS	PR00625	DnaJ domain signature	4	9,27,43,63,	27,42,63,82,	1.2E-23,1.2E-23,1.2E-23,1.2E-23
1292304	IPR018253	DnaJ domain, conserved site	ProSitePatterns	PS00636	Nt-dnaJ domain signature.	1	48,	67,	-
1292304	IPR001623	DnaJ domain	ProSiteProfiles	PS50076	dnaJ domain profile.	1	7,	71,	22.411
1292304	IPR001623	DnaJ domain	SMART	SM00271	DnaJ molecular chaperone homology domain	1	6,	63,	2.4E-28
1292304	IPR001623	DnaJ domain	SUPERFAMILY	SSF46565	\N	1	6,	101,	1.14E-30
1292308	\N	\N	HMMPfam	PF00145	C-5 cytosine-specific DNA methylase	1	158,	545,	1.0E-10
1292308	IPR000330	SNF2-related	HMMPfam	PF00176	SNF2 family N-terminal domain	1	1208,	1354,	8.9E-15
1292308	IPR001650	Helicase, C-terminal	ProSiteProfiles	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1	2090,	2243,	8.911
1292308	IPR014001	Helicase superfamily 1/2, ATP-binding domain	SMART	SM00487	DEAD-like helicases superfamily	1	1200,	1749,	1.3E-10
1292308	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	4	1194,1252,1679,2080,	1220,1359,1735,2230,	7.97E-14,7.97E-14,6.65E-21,6.65E-21
1292308	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	SUPERFAMILY	SSF53335	\N	2	151,429,	373,546,	6.64E-30,6.64E-30
1292326	IPR000631	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	HMMPfam	PF01256	Carbohydrate kinase	2	30,236,	223,318,	3.3E-39,9.9E-8
1292326	IPR000631	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	ProSiteProfiles	PS51383	YjeF C-terminal domain profile.	1	7,	328,	72.816
1292326	IPR029056	Ribokinase-like	SUPERFAMILY	SSF53613	\N	1	6,	327,	1.22E-50
1292326	IPR000631	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	TIGRFAM	TIGR00196	yjeF_cterm: YjeF family C-terminal domain	1	7,	214,	8.8E-45
1292341	IPR001789	Signal transduction response regulator, receiver domain	HMMPfam	PF00072	Response regulator receiver domain	2	799,867,	838,943,	6.4E-5,3.3E-9
1292341	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	HMMPfam	PF00512	His Kinase A (phospho-acceptor) domain	1	306,	372,	9.7E-6
1292341	IPR003594	Histidine kinase-like ATPase, C-terminal domain	HMMPfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1	448,	625,	1.3E-23
1292341	IPR004358	Signal transduction histidine kinase-related protein, C-terminal	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	4	550,570,587,611,	564,580,605,624,	9.3E-16,9.3E-16,9.3E-16,9.3E-16
1292341	IPR005467	Signal transduction histidine kinase, core	ProSiteProfiles	PS50109	Histidine kinase domain profile.	1	313,	627,	31.753
1292341	IPR001789	Signal transduction response regulator, receiver domain	ProSiteProfiles	PS50110	Response regulatory domain profile.	1	798,	947,	22.788
1292341	IPR003594	Histidine kinase-like ATPase, C-terminal domain	SMART	SM00387	Histidine kinase-like ATPases	1	448,	627,	1.4E-28
1292341	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	SMART	SM00388	His Kinase A (phosphoacceptor) domain	1	306,	372,	3.5E-6
1292341	IPR001789	Signal transduction response regulator, receiver domain	SMART	SM00448	cheY-homologous receiver domain	1	797,	943,	6.0E-19
1292341	IPR009082	Signal transduction histidine kinase, homodimeric domain	SUPERFAMILY	SSF47384	\N	1	293,	373,	1.14E-7
1292341	IPR011006	CheY-like superfamily	SUPERFAMILY	SSF52172	\N	2	796,874,	838,954,	1.49E-27,1.49E-27
1292341	IPR003594	Histidine kinase-like ATPase, C-terminal domain	SUPERFAMILY	SSF55874	\N	2	415,549,	485,625,	2.16E-29,2.16E-29
1292342	IPR003959	ATPase, AAA-type, core	HMMPfam	PF00004	ATPase family associated with various cellular activities (AAA)	1	68,	186,	5.4E-17
1292342	IPR013748	Replication factor C, C-terminal domain	HMMPfam	PF08542	Replication factor C C-terminal domain	1	252,	340,	1.8E-17
1292342	IPR003593	AAA+ ATPase domain	SMART	SM00382	ATPases associated with a variety of cellular activities	1	64,	191,	2.3E-12
1292342	IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	SUPERFAMILY	SSF48019	\N	1	253,	345,	8.93E-22
1292342	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	1	31,	248,	3.42E-53
1292348	IPR002889	Carbohydrate-binding WSC	HMMPfam	PF01822	WSC domain	2	367,480,	448,559,	2.4E-15,9.6E-17
1292348	IPR018535	Domain of unknown function DUF1996	HMMPfam	PF09362	Domain of unknown function (DUF1996)	1	40,	271,	8.5E-69
1292348	IPR002889	Carbohydrate-binding WSC	ProSiteProfiles	PS51212	WSC domain profile.	2	363,476,	458,569,	10.476,11.394
1292348	IPR013994	Carbohydrate-binding WSC, subgroup	SMART	SM00321	present in yeast cell wall integrity and stress response component proteins	2	363,476,	458,569,	1.7E-12,6.0E-10
1292373	IPR002121	HRDC domain	HMMPfam	PF00570	HRDC domain	1	496,	561,	2.6E-12
1292373	IPR002562	3'-5' exonuclease domain	HMMPfam	PF01612	3'-5' exonuclease	1	240,	405,	3.7E-47
1292373	IPR012588	Exosome-associated factor Rrp6, N-terminal	HMMPfam	PF08066	PMC2NT (NUC016) domain	1	27,	120,	5.0E-15
1292373	IPR002121	HRDC domain	ProSiteProfiles	PS50967	HRDC domain profile.	1	491,	571,	16.762
1292373	IPR002121	HRDC domain	SMART	SM00341	Helicase and RNase D C-terminal	1	491,	571,	7.9E-8
1292373	IPR002562	3'-5' exonuclease domain	SMART	SM00474	3'-5' exonuclease	1	238,	406,	3.3E-52
1292373	IPR010997	HRDC-like	SUPERFAMILY	SSF47819	\N	1	486,	566,	7.06E-20
1292373	IPR012337	Ribonuclease H-like domain	SUPERFAMILY	SSF53098	\N	1	156,	408,	6.17E-84
1292407	IPR000560	Histidine phosphatase superfamily, clade-2	HMMPfam	PF00328	Histidine phosphatase superfamily (branch 2)	1	25,	322,	1.1E-8
1292407	IPR029033	Histidine phosphatase superfamily	SUPERFAMILY	SSF53254	\N	1	6,	372,	1.31E-41
1292429	IPR000092	Polyprenyl synthetase	HMMPfam	PF00348	Polyprenyl synthetase	1	40,	314,	2.1E-71
1292429	IPR000092	Polyprenyl synthetase	ProSitePatterns	PS00444	Polyprenyl synthases signature 2.	1	235,	247,	-
1292429	IPR000092	Polyprenyl synthetase	ProSitePatterns	PS00723	Polyprenyl synthases signature 1.	1	94,	108,	-
1292429	IPR008949	Isoprenoid synthase domain	SUPERFAMILY	SSF48576	\N	1	9,	361,	7.61E-83
1292434	IPR001789	Signal transduction response regulator, receiver domain	HMMPfam	PF00072	Response regulator receiver domain	1	1116,	1239,	1.8E-17
1292434	IPR013515	Phytochrome, central region	HMMPfam	PF00360	Phytochrome region	1	595,	760,	2.9E-23
1292434	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	HMMPfam	PF00512	His Kinase A (phospho-acceptor) domain	1	785,	846,	1.7E-12
1292434	IPR003018	GAF domain	HMMPfam	PF01590	GAF domain	1	416,	580,	2.0E-12
1292434	IPR003594	Histidine kinase-like ATPase, C-terminal domain	HMMPfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1	892,	1019,	1.1E-19
1292434	IPR013654	PAS fold-2	HMMPfam	PF08446	PAS fold	1	58,	127,	5.2E-9
1292434	IPR004358	Signal transduction histidine kinase-related protein, C-terminal	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	3	938,981,1005,	952,999,1018,	4.5E-12,4.5E-12,4.5E-12
1292434	IPR016132	Phytochrome chromophore attachment domain	ProSiteProfiles	PS50046	Phytochrome chromophore attachment site domain profile.	1	415,	577,	34.796
1292434	IPR005467	Signal transduction histidine kinase, core	ProSiteProfiles	PS50109	Histidine kinase domain profile.	1	788,	1021,	42.042
1292434	IPR001789	Signal transduction response regulator, receiver domain	ProSiteProfiles	PS50110	Response regulatory domain profile.	1	1115,	1245,	27.684
1292434	IPR003594	Histidine kinase-like ATPase, C-terminal domain	SMART	SM00387	Histidine kinase-like ATPases	1	892,	1021,	4.6E-26
1292434	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	SMART	SM00388	His Kinase A (phosphoacceptor) domain	1	781,	846,	7.8E-14
1292434	IPR001789	Signal transduction response regulator, receiver domain	SMART	SM00448	cheY-homologous receiver domain	1	1114,	1241,	4.5E-29
1292434	IPR009082	Signal transduction histidine kinase, homodimeric domain	SUPERFAMILY	SSF47384	\N	1	767,	847,	7.26E-16
1292434	IPR011006	CheY-like superfamily	SUPERFAMILY	SSF52172	\N	1	1112,	1245,	6.97E-30
1292434	IPR029016	GAF domain-like	SUPERFAMILY	SSF55781	\N	2	398,594,	585,771,	4.77E-48,1.5E-38
1292434	IPR000014	PAS domain	SUPERFAMILY	SSF55785	\N	1	39,	140,	5.23E-20
1292434	IPR003594	Histidine kinase-like ATPase, C-terminal domain	SUPERFAMILY	SSF55874	\N	1	835,	1021,	1.44E-36
1292447	IPR000340	Dual specificity phosphatase, catalytic domain	HMMPfam	PF00782	Dual specificity phosphatase, catalytic domain	1	34,	171,	1.2E-28
1292447	IPR016130	Protein-tyrosine phosphatase, active site	ProSitePatterns	PS00383	Tyrosine specific protein phosphatases active site.	1	116,	126,	-
1292447	IPR020422	Dual specificity phosphatase, subgroup, catalytic domain	ProSiteProfiles	PS50054	Dual specificity protein phosphatase family profile.	1	26,	173,	30.048
1292447	IPR000387	Protein-tyrosine/Dual specificity phosphatase	ProSiteProfiles	PS50056	Tyrosine specific protein phosphatases family profile.	1	95,	152,	12.843
1292447	IPR020422	Dual specificity phosphatase, subgroup, catalytic domain	SMART	SM00195	Dual specificity phosphatase, catalytic domain	1	26,	171,	3.5E-30
1292447	IPR029021	Protein-tyrosine phosphatase-like	SUPERFAMILY	SSF52799	\N	1	19,	173,	1.9E-31
1292454	IPR001810	F-box domain	HMMPfam	PF00646	F-box domain	1	2,	35,	7.4E-8
1292454	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	1,	47,	10.928
1292454	IPR001810	F-box domain	SMART	SM00256	A Receptor for Ubiquitination Targets	1	4,	47,	6.5E-4
1292454	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	2,	55,	2.75E-9
1292457	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	short chain dehydrogenase	1	9,	177,	1.3E-32
1292457	IPR002198	Short-chain dehydrogenase/reductase SDR	PRINTS	PR00080	Short-chain dehydrogenase/reductase (SDR) superfamily signature	3	83,139,159,	94,147,178,	2.3E-10,2.3E-10,2.3E-10
1292457	IPR002347	Glucose/ribitol dehydrogenase	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	5	10,83,133,159,180,	27,94,149,178,197,	3.2E-23,3.2E-23,3.2E-23,3.2E-23,3.2E-23
1292457	IPR020904	Short-chain dehydrogenase/reductase, conserved site	ProSitePatterns	PS00061	Short-chain dehydrogenases/reductases family signature.	1	146,	174,	-
1292457	\N	\N	SUPERFAMILY	SSF51735	\N	1	6,	234,	1.02E-60
1292462	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar (and other) transporter	1	67,	554,	1.5E-34
1292462	IPR005829	Sugar transporter, conserved site	ProSitePatterns	PS00216	Sugar transport proteins signature 1.	1	426,	442,	-
1292462	IPR020846	Major facilitator superfamily domain	ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	1	63,	554,	29.838
1292462	IPR020846	Major facilitator superfamily domain	SUPERFAMILY	SSF103473	\N	2	49,340,	272,555,	1.05E-56,1.05E-56
1292468	IPR001461	Aspartic peptidase	HMMPfam	PF00026	Eukaryotic aspartyl protease	1	62,	403,	4.6E-29
1292468	IPR001461	Aspartic peptidase	PRINTS	PR00792	Pepsin (A1) aspartic protease family signature	3	70,298,385,	90,309,400,	5.4E-5,5.4E-5,5.4E-5
1292468	IPR021109	Aspartic peptidase domain	SUPERFAMILY	SSF50630	\N	1	57,	399,	1.86E-43
1292470	IPR019026	Peptidase M64, IgA	HMMPfam	PF09471	IgA Peptidase M64	1	10,	190,	3.2E-27
1292491	IPR021520	Protein of unknown function DUF3184	HMMPfam	PF11380	Protein of unknown function (DUF3184)	1	74,	201,	1.3E-5
1292523	\N	\N	HMMPfam	PF13147	Amidohydrolase	1	137,	465,	5.8E-14
1292523	IPR011059	Metal-dependent hydrolase, composite domain	SUPERFAMILY	SSF51338	\N	2	81,459,	146,497,	1.59E-14,1.59E-14
1292523	\N	\N	SUPERFAMILY	SSF51556	\N	1	145,	459,	2.89E-23
1292531	IPR000195	Rab-GTPase-TBC domain	HMMPfam	PF00566	Rab-GTPase-TBC domain	1	144,	345,	1.9E-52
1292531	IPR000195	Rab-GTPase-TBC domain	ProSiteProfiles	PS50086	TBC/rab GAP domain profile.	1	140,	326,	34.93
1292531	IPR000195	Rab-GTPase-TBC domain	SMART	SM00164	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.	1	137,	349,	2.2E-66
1292531	IPR000195	Rab-GTPase-TBC domain	SUPERFAMILY	SSF47923	\N	2	116,266,	286,395,	4.97E-40,5.75E-26
1292543	IPR006094	FAD linked oxidase, N-terminal	HMMPfam	PF01565	FAD binding domain	1	39,	174,	1.0E-32
1292543	IPR012951	Berberine/berberine-like	HMMPfam	PF08031	Berberine and berberine like	1	415,	450,	1.4E-9
1292543	IPR016166	FAD-binding, type 2	ProSiteProfiles	PS51387	PCMH-type FAD-binding domain profile.	1	33,	206,	19.245
1292543	IPR016164	FAD-linked oxidase-like, C-terminal	SUPERFAMILY	SSF55103	\N	2	169,366,	246,449,	3.27E-5,3.27E-5
1292543	IPR016166	FAD-binding, type 2	SUPERFAMILY	SSF56176	\N	1	10,	206,	1.17E-51
1292559	IPR002016	Haem peroxidase, plant/fungal/bacterial	HMMPfam	PF00141	Peroxidase	1	48,	276,	3.9E-25
1292559	IPR024589	Fungal ligninase, C-terminal	HMMPfam	PF11895	Domain of unknown function (DUF3415)	1	279,	356,	4.3E-35
1292559	IPR002016	Haem peroxidase, plant/fungal/bacterial	PRINTS	PR00458	Haem peroxidase superfamily signature	5	65,123,142,188,213,	79,140,154,203,228,	8.678612E-14,8.678612E-14,8.678612E-14,8.678612E-14,8.678612E-14
1292559	IPR001621	Fungal ligninase	PRINTS	PR00462	Fungal lignin peroxidase family signature	13	25,40,60,100,123,141,155,184,207,230,251,285,333,	38,58,80,122,140,154,182,206,229,250,276,310,352,	2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145,2.506086E-145
1292559	IPR019793	Peroxidases heam-ligand binding site	ProSitePatterns	PS00435	Peroxidases proximal heme-ligand signature.	1	188,	198,	-
1292559	IPR002016	Haem peroxidase, plant/fungal/bacterial	ProSiteProfiles	PS50873	Plant heme peroxidase family profile.	1	69,	339,	13.847
1292559	IPR010255	Haem peroxidase	SUPERFAMILY	SSF48113	\N	1	27,	355,	2.5E-106
1292613	IPR000626	Ubiquitin-like	HMMPfam	PF00240	Ubiquitin family	1	6,	45,	5.3E-10
1292613	IPR019956	Ubiquitin	PRINTS	PR00348	Ubiquitin signature	2	4,25,	24,46,	2.9E-6,2.9E-6
1292613	IPR000626	Ubiquitin-like	ProSiteProfiles	PS50053	Ubiquitin domain profile.	1	1,	48,	13.816
1292613	IPR029071	Ubiquitin-related domain	SUPERFAMILY	SSF54236	\N	1	7,	51,	3.91E-12
1292620	IPR006671	Cyclin, N-terminal	HMMPfam	PF00134	Cyclin, N-terminal domain	1	89,	214,	6.0E-43
1292620	IPR004367	Cyclin, C-terminal domain	HMMPfam	PF02984	Cyclin, C-terminal domain	1	219,	329,	2.8E-26
1292620	\N	\N	PIRSF	PIRSF001771	\N	1	2,	344,	451.0
1292620	IPR006671	Cyclin, N-terminal	ProSitePatterns	PS00292	Cyclins signature.	1	119,	150,	-
1292620	IPR013763	Cyclin-like	SMART	SM00385	domain present in cyclins, TFIIB and Retinoblastoma	2	124,222,	208,302,	1.5E-19,2.8E-13
1292620	IPR013763	Cyclin-like	SUPERFAMILY	SSF47954	\N	2	77,219,	212,334,	9.01E-48,3.21E-27
1292631	IPR005122	Uracil-DNA glycosylase-like	HMMPfam	PF03167	Uracil DNA glycosylase superfamily	2	128,247,	218,300,	8.6E-13,1.9E-7
1292631	IPR018085	Uracil-DNA glycosylase, active site	ProSitePatterns	PS00130	Uracil-DNA glycosylase signature.	1	131,	140,	-
1292631	IPR005122	Uracil-DNA glycosylase-like	SMART	SM00986	Uracil DNA glycosylase superfamily	1	123,	299,	1.0E-34
1292631	\N	\N	SMART	SM00987	UreE urease accessory protein, C-terminal domain	1	123,	299,	1.0E-34
1292631	IPR005122	Uracil-DNA glycosylase-like	SUPERFAMILY	SSF52141	\N	1	69,	311,	3.49E-79
1292631	IPR002043	Uracil-DNA glycosylase	TIGRFAM	TIGR00628	ung: uracil-DNA glycosylase	1	72,	302,	3.2E-75
1292655	IPR004837	Sodium/calcium exchanger membrane region	HMMPfam	PF01699	Sodium/calcium exchanger protein	2	102,303,	208,434,	1.2E-8,1.0E-22
1292659	\N	\N	HMMPfam	PF12895	Anaphase-promoting complex, cyclosome, subunit 3	1	133,	179,	8.9E-9
1292659	\N	\N	HMMPfam	PF13414	TPR repeat	1	583,	655,	2.1E-11
